model,mode,report,matrix,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,accuracy,macro avg_precision,macro avg_recall,macro avg_f1,weighted avg_precision,weighted avg_recall,weighted avg_f1
FastText,,"              precision    recall  f1-score   support

         非谣言     0.9545    0.8726    0.9117       361
          谣言     0.7974    0.9235    0.8558       196

    accuracy                         0.8905       557
   macro avg     0.8760    0.8980    0.8838       557
weighted avg     0.8992    0.8905    0.8920       557

","[['315', '46'], ['15', '181']]",0.9545,0.8726,0.9117,361,0.7974,0.9235,0.8558,196,0.8905,0.8760,0.8980,0.8838,0.8992,0.8905,0.8920
FastText,gp_raw_topic,"              precision    recall  f1-score   support

         非谣言     0.9040    0.9391    0.9212       361
          谣言     0.8791    0.8163    0.8466       196

    accuracy                         0.8959       557
   macro avg     0.8916    0.8777    0.8839       557
weighted avg     0.8952    0.8959    0.8949       557

","[['339', '22'], ['36', '160']]",0.9040,0.9391,0.9212,361,0.8791,0.8163,0.8466,196,0.8959,0.8916,0.8777,0.8839,0.8952,0.8959,0.8949
FastText,gp_raw_topic_cos,"              precision    recall  f1-score   support

         非谣言     0.9220    0.9169    0.9194       361
          谣言     0.8485    0.8571    0.8528       196

    accuracy                         0.8959       557
   macro avg     0.8852    0.8870    0.8861       557
weighted avg     0.8961    0.8959    0.8960       557

","[['331', '30'], ['28', '168']]",0.9220,0.9169,0.9194,361,0.8485,0.8571,0.8528,196,0.8959,0.8852,0.8870,0.8861,0.8961,0.8959,0.8960
FastText,gp_raw_topic_length,"              precision    recall  f1-score   support

         非谣言     0.9013    0.9363    0.9185       361
          谣言     0.8736    0.8112    0.8413       196

    accuracy                         0.8923       557
   macro avg     0.8875    0.8738    0.8799       557
weighted avg     0.8916    0.8923    0.8913       557

","[['338', '23'], ['37', '159']]",0.9013,0.9363,0.9185,361,0.8736,0.8112,0.8413,196,0.8923,0.8875,0.8738,0.8799,0.8916,0.8923,0.8913
FastText,gp_raw_topic_linguistic,"              precision    recall  f1-score   support

         非谣言     0.9005    0.9280    0.9141       361
          谣言     0.8595    0.8112    0.8346       196

    accuracy                         0.8869       557
   macro avg     0.8800    0.8696    0.8743       557
weighted avg     0.8861    0.8869    0.8861       557

","[['335', '26'], ['37', '159']]",0.9005,0.9280,0.9141,361,0.8595,0.8112,0.8346,196,0.8869,0.8800,0.8696,0.8743,0.8861,0.8869,0.8861
FastText,gp_raw_topic_linguistic_sentiment,"              precision    recall  f1-score   support

         非谣言     0.9076    0.9252    0.9163       361
          谣言     0.8571    0.8265    0.8416       196

    accuracy                         0.8905       557
   macro avg     0.8824    0.8759    0.8789       557
weighted avg     0.8899    0.8905    0.8900       557

","[['334', '27'], ['34', '162']]",0.9076,0.9252,0.9163,361,0.8571,0.8265,0.8416,196,0.8905,0.8824,0.8759,0.8789,0.8899,0.8905,0.8900
FastText,gp_raw_topic_sentiment,"              precision    recall  f1-score   support

         非谣言     0.8918    0.9363    0.9135       361
          谣言     0.8708    0.7908    0.8289       196

    accuracy                         0.8851       557
   macro avg     0.8813    0.8636    0.8712       557
weighted avg     0.8844    0.8851    0.8837       557

","[['338', '23'], ['41', '155']]",0.8918,0.9363,0.9135,361,0.8708,0.7908,0.8289,196,0.8851,0.8813,0.8636,0.8712,0.8844,0.8851,0.8837
FastText,gp_topic,"              precision    recall  f1-score   support

         非谣言     0.9599    0.8615    0.9080       361
          谣言     0.7854    0.9337    0.8531       196

    accuracy                         0.8869       557
   macro avg     0.8726    0.8976    0.8806       557
weighted avg     0.8985    0.8869    0.8887       557

","[['311', '50'], ['13', '183']]",0.9599,0.8615,0.9080,361,0.7854,0.9337,0.8531,196,0.8869,0.8726,0.8976,0.8806,0.8985,0.8869,0.8887
FastText,gp_topic_cos,"              precision    recall  f1-score   support

         非谣言     0.9544    0.8698    0.9101       361
          谣言     0.7939    0.9235    0.8538       196

    accuracy                         0.8887       557
   macro avg     0.8741    0.8966    0.8820       557
weighted avg     0.8979    0.8887    0.8903       557

","[['314', '47'], ['15', '181']]",0.9544,0.8698,0.9101,361,0.7939,0.9235,0.8538,196,0.8887,0.8741,0.8966,0.8820,0.8979,0.8887,0.8903
FastText,gp_topic_length,"              precision    recall  f1-score   support

         非谣言     0.9459    0.8726    0.9078       361
          谣言     0.7946    0.9082    0.8476       196

    accuracy                         0.8851       557
   macro avg     0.8703    0.8904    0.8777       557
weighted avg     0.8927    0.8851    0.8866       557

","[['315', '46'], ['18', '178']]",0.9459,0.8726,0.9078,361,0.7946,0.9082,0.8476,196,0.8851,0.8703,0.8904,0.8777,0.8927,0.8851,0.8866
FastText,gp_topic_linguistic,"              precision    recall  f1-score   support

         非谣言     0.9515    0.8698    0.9088       361
          谣言     0.7930    0.9184    0.8511       196

    accuracy                         0.8869       557
   macro avg     0.8722    0.8941    0.8799       557
weighted avg     0.8957    0.8869    0.8885       557

","[['314', '47'], ['16', '180']]",0.9515,0.8698,0.9088,361,0.7930,0.9184,0.8511,196,0.8869,0.8722,0.8941,0.8799,0.8957,0.8869,0.8885
FastText,gp_topic_linguistic_sentiment,"              precision    recall  f1-score   support

         非谣言     0.9599    0.8615    0.9080       361
          谣言     0.7854    0.9337    0.8531       196

    accuracy                         0.8869       557
   macro avg     0.8726    0.8976    0.8806       557
weighted avg     0.8985    0.8869    0.8887       557

","[['311', '50'], ['13', '183']]",0.9599,0.8615,0.9080,361,0.7854,0.9337,0.8531,196,0.8869,0.8726,0.8976,0.8806,0.8985,0.8869,0.8887
FastText,gp_topic_sentiment,"              precision    recall  f1-score   support

         非谣言     0.9545    0.8726    0.9117       361
          谣言     0.7974    0.9235    0.8558       196

    accuracy                         0.8905       557
   macro avg     0.8760    0.8980    0.8838       557
weighted avg     0.8992    0.8905    0.8920       557

","[['315', '46'], ['15', '181']]",0.9545,0.8726,0.9117,361,0.7974,0.9235,0.8558,196,0.8905,0.8760,0.8980,0.8838,0.8992,0.8905,0.8920
